"","Var1","Var2","Freq"
"1","","  Country","Length:4175       "
"2","","  Country","Class :character  "
"3","","  Country","Mode  :character  "
"4","","  Country",NA
"5","","  Country",NA
"6","","  Country",NA
"7","","     year","Min.   :2000  "
"8","","     year","1st Qu.:2006  "
"9","","     year","Median :2012  "
"10","","     year","Mean   :2012  "
"11","","     year","3rd Qu.:2018  "
"12","","     year","Max.   :2024  "
"13","","   sdg1_wpc","Min.   : 0.003  "
"14","","   sdg1_wpc","1st Qu.: 0.608  "
"15","","   sdg1_wpc","Median : 2.652  "
"16","","   sdg1_wpc","Mean   :13.949  "
"17","","   sdg1_wpc","3rd Qu.:21.982  "
"18","","   sdg1_wpc","Max.   :89.621  "
"19",""," sdg1_lmicpov","Min.   : 0.0120  "
"20",""," sdg1_lmicpov","1st Qu.: 0.9865  "
"21",""," sdg1_lmicpov","Median :10.3830  "
"22",""," sdg1_lmicpov","Mean   :23.9556  "
"23",""," sdg1_lmicpov","3rd Qu.:43.4295  "
"24",""," sdg1_lmicpov","Max.   :99.5720  "
"25","","sdg2_undernsh","Min.   : 2.50  "
"26","","sdg2_undernsh","1st Qu.: 2.50  "
"27","","sdg2_undernsh","Median : 6.30  "
"28","","sdg2_undernsh","Mean   :11.43  "
"29","","sdg2_undernsh","3rd Qu.:17.10  "
"30","","sdg2_undernsh","Max.   :70.90  "
"31","","sdg2_stunting","Min.   : 0.50  "
"32","","sdg2_stunting","1st Qu.: 4.50  "
"33","","sdg2_stunting","Median :13.40  "
"34","","sdg2_stunting","Mean   :18.52  "
"35","","sdg2_stunting","3rd Qu.:29.85  "
"36","","sdg2_stunting","Max.   :64.00  "
"37",""," sdg2_obesity","Min.   : 0.31  "
"38",""," sdg2_obesity","1st Qu.: 8.90  "
"39",""," sdg2_obesity","Median :17.21  "
"40",""," sdg2_obesity","Mean   :17.17  "
"41",""," sdg2_obesity","3rd Qu.:23.50  "
"42",""," sdg2_obesity","Max.   :47.26  "
"43",""," sdg2_trophic","Min.   :2.021  "
"44",""," sdg2_trophic","1st Qu.:2.175  "
"45",""," sdg2_trophic","Median :2.289  "
"46",""," sdg2_trophic","Mean   :2.282  "
"47",""," sdg2_trophic","3rd Qu.:2.380  "
"48",""," sdg2_trophic","Max.   :4.000  "
"49",""," sdg2_crlyld","Min.   : 0.000  "
"50",""," sdg2_crlyld","1st Qu.: 1.589  "
"51",""," sdg2_crlyld","Median : 2.852  "
"52",""," sdg2_crlyld","Mean   : 3.365  "
"53",""," sdg2_crlyld","3rd Qu.: 4.430  "
"54",""," sdg2_crlyld","Max.   :36.762  "
"55","","  sdg2_snmi","Min.   :0.003  "
"56","","  sdg2_snmi","1st Qu.:0.715  "
"57","","  sdg2_snmi","Median :0.861  "
"58","","  sdg2_snmi","Mean   :0.871  "
"59","","  sdg2_snmi","3rd Qu.:1.022  "
"60","","  sdg2_snmi","Max.   :1.410  "
"61",""," sdg3_matmort","Min.   :   1.08  "
"62",""," sdg3_matmort","1st Qu.:  13.39  "
"63",""," sdg3_matmort","Median :  56.88  "
"64",""," sdg3_matmort","Mean   : 210.02  "
"65",""," sdg3_matmort","3rd Qu.: 283.95  "
"66",""," sdg3_matmort","Max.   :1687.00  "
"67",""," sdg3_neonat","Min.   : 0.791  "
"68",""," sdg3_neonat","1st Qu.: 4.154  "
"69",""," sdg3_neonat","Median :10.857  "
"70",""," sdg3_neonat","Mean   :15.338  "
"71",""," sdg3_neonat","3rd Qu.:24.505  "
"72",""," sdg3_neonat","Max.   :62.693  "
"73",""," sdg3_u5mort","Min.   :  1.881  "
"74",""," sdg3_u5mort","1st Qu.:  7.545  "
"75",""," sdg3_u5mort","Median : 19.383  "
"76",""," sdg3_u5mort","Mean   : 37.811  "
"77",""," sdg3_u5mort","3rd Qu.: 55.632  "
"78",""," sdg3_u5mort","Max.   :228.352  "
"79","","   sdg3_tb","Min.   :   0.0  "
"80","","   sdg3_tb","1st Qu.:  16.0  "
"81","","   sdg3_tb","Median :  51.0  "
"82","","   sdg3_tb","Mean   : 131.8  "
"83","","   sdg3_tb","3rd Qu.: 183.5  "
"84","","   sdg3_tb","Max.   :1590.0  "
"85","","   sdg3_hiv","Min.   : 0.0100  "
"86","","   sdg3_hiv","1st Qu.: 0.0400  "
"87","","   sdg3_hiv","Median : 0.1100  "
"88","","   sdg3_hiv","Mean   : 0.7004  "
"89","","   sdg3_hiv","3rd Qu.: 0.3900  "
"90","","   sdg3_hiv","Max.   :20.9600  "
"91","","  sdg3_ncds","Min.   : 7.27  "
"92","","  sdg3_ncds","1st Qu.:15.76  "
"93","","  sdg3_ncds","Median :21.33  "
"94","","  sdg3_ncds","Mean   :21.18  "
"95","","  sdg3_ncds","3rd Qu.:25.57  "
"96","","  sdg3_ncds","Max.   :48.13  "
"97","","sdg3_pollmort","Min.   :  7.00  "
"98","","sdg3_pollmort","1st Qu.: 28.74  "
"99","","sdg3_pollmort","Median : 71.56  "
"100","","sdg3_pollmort","Mean   : 96.85  "
"101","","sdg3_pollmort","3rd Qu.:152.02  "
"102","","sdg3_pollmort","Max.   :305.00  "
"103",""," sdg3_traffic","Min.   : 0.66  "
"104",""," sdg3_traffic","1st Qu.:10.60  "
"105",""," sdg3_traffic","Median :16.39  "
"106",""," sdg3_traffic","Mean   :17.61  "
"107",""," sdg3_traffic","3rd Qu.:24.62  "
"108",""," sdg3_traffic","Max.   :64.60  "
"109","","  sdg3_lifee","Min.   :41.96  "
"110","","  sdg3_lifee","1st Qu.:63.33  "
"111","","  sdg3_lifee","Median :71.79  "
"112","","  sdg3_lifee","Mean   :69.68  "
"113","","  sdg3_lifee","3rd Qu.:76.75  "
"114","","  sdg3_lifee","Max.   :84.78  "
"115","","sdg3_fertility","Min.   :  0.40  "
"116","","sdg3_fertility","1st Qu.: 13.58  "
"117","","sdg3_fertility","Median : 37.66  "
"118","","sdg3_fertility","Mean   : 54.38  "
"119","","sdg3_fertility","3rd Qu.: 84.53  "
"120","","sdg3_fertility","Max.   :253.60  "
